FECHA,CS_RUBI,CS_INTIPAMPA,CS_MAJES,CS_REPARTICION,CS_MOQUEGUA_FV,CS_PANAMERICANA_SOLAR,CS_TACNA_SOLAR,TOTAL_MW,Rolling_Mean,Insolacion
2019-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-4.525
2019-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.023
2019-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-3.801
2019-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-2.18
2019-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-3.342
2019-01-01 05:00:00,1.6852,0.7058,0.0012,0.0111,0.0332,0.9813,0.1242,3.5419,,-3.141
2019-01-01 06:00:00,18.5969,11.3343,1.627,1.3477,4.263,9.9955,3.8012,50.9658,,11.695
2019-01-01 07:00:00,112.9623,28.0594,5.3434,4.8984,11.4784,13.2415,14.2995,190.2829,,174.896
2019-01-01 08:00:00,128.9635,31.6185,10.0012,9.2228,13.1102,16.084,16.8543,225.8545,,418.95599999999996
2019-01-01 09:00:00,140.4485,36.1692,13.7956,13.0796,14.6383,16.2528,17.6483,252.0323,,645.742
2019-01-01 10:00:00,142.7219,37.3361,16.2887,15.6077,14.7571,16.388,17.9496,261.0491,,808.3380000000001
2019-01-01 11:00:00,144.4636,37.5866,18.0366,16.8831,14.981,16.886,18.1438,266.9806,,882.9639999999999
2019-01-01 12:00:00,144.781,37.7726,18.368,14.9437,14.9984,16.7018,18.2627,265.828,,986.477
2019-01-01 13:00:00,149.0195,30.9267,16.7552,13.438,11.6284,9.0393,15.7085,246.5156,,1035.336
2019-01-01 14:00:00,105.1645,11.4257,14.8556,11.4121,9.2869,10.0798,8.9953,171.2199,,779.6210000000001
2019-01-01 15:00:00,45.7775,2.5119,10.6983,9.0059,5.7087,2.9845,3.3527,80.0395,,557.547
2019-01-01 16:00:00,33.5107,2.1088,3.0279,3.4975,2.1809,1.2383,1.7359,47.3,,288.70099999999996
2019-01-01 17:00:00,7.7331,2.5125,0.4497,0.9559,1.5207,1.0408,0.8563,15.0691,,70.183
2019-01-01 18:00:00,0.9123,0.2561,0.0032,0.0201,0.5044,0.0008,0.0108,1.7077,,2.557
2019-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-9.828
2019-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-8.135
2019-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-5.662000000000001
2019-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-3.2230000000000003
2019-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.030854166666664,-2.674
2019-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.030854166666664,-3.218
2019-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.030854166666664,-3.79
2019-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.030854166666664,-3.997
2019-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.030854166666664,-3.5210000000000004
2019-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.030854166666664,-4.231
2019-01-02 05:00:00,0.9512,0.2326,0.0182,0.0599,0.0106,0.6445,0.1538,2.0708,49.00027083333333,-3.991
2019-01-02 06:00:00,47.5753,10.731,1.4687,1.3325,4.0311,10.253,6.681,82.0725,50.207704166666666,17.504
2019-01-02 07:00:00,116.2868,28.1653,5.1876,5.067,12.1312,14.789,11.2155,192.8424,50.346225000000004,217.636
2019-01-02 08:00:00,132.3791,34.7727,9.8175,9.4583,14.039,15.965,16.2665,232.698,50.48854166666667,485.185
2019-01-02 09:00:00,140.5813,36.3581,13.5614,13.2974,14.6558,16.322,15.9264,250.7023,50.49407500000001,706.727
2019-01-02 10:00:00,143.3267,37.5725,16.2174,15.6141,14.9639,16.566,15.0256,259.2862,50.519275000000015,894.518
2019-01-02 11:00:00,144.2948,37.8611,17.5069,17.35,15.1267,16.6598,16.3306,265.1297,50.51224166666668,1061.1689999999999
2019-01-02 12:00:00,145.4134,39.9519,17.8979,17.9572,14.9682,17.1248,13.5791,266.8925,50.53859166666668,1122.393
2019-01-02 13:00:00,147.2572,25.7084,17.1528,17.4834,13.2171,13.703,8.667,243.1889,50.46516250000002,1128.8339999999998
2019-01-02 14:00:00,117.5872,9.4151,14.815,12.7141,10.8646,9.2315,7.9566,182.584,50.98277500000001,1015.6569999999999
2019-01-02 15:00:00,75.0409,8.2514,8.1687,8.4127,6.5629,5.9303,6.8438,119.2107,52.20208333333335,294.225
2019-01-02 16:00:00,27.9166,2.8441,5.0548,2.8219,4.0711,2.1918,4.2163,49.1166,51.968995833333345,69.35600000000001
2019-01-02 17:00:00,11.8926,1.5558,1.8917,1.0827,1.2363,0.1248,0.8979,18.6817,52.14230833333335,39.749
2019-01-02 18:00:00,1.059,0.1866,0.1465,0.0795,0.1332,0.0,0.0,1.6049,52.14842083333335,27.531999999999996
2019-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-0.08800000000000001
2019-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-2.963
2019-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-3.076
2019-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-2.9
2019-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-3.0060000000000002
2019-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-2.8960000000000004
2019-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-3.077
2019-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-3.391
2019-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-3.388
2019-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14842083333335,-3.071
2019-01-03 05:00:00,1.267,0.3938,0.057,0.04,0.013,0.4183,0.0378,2.2269,52.161579166666684,-3.199
2019-01-03 06:00:00,27.5989,6.4325,2.4053,1.3121,2.683,6.6603,3.3613,50.4533,51.329229166666686,22.215999999999998
2019-01-03 07:00:00,78.9115,26.4062,5.362,3.7799,8.6563,12.577,7.4437,143.1366,49.77192500000001,217.44099999999997
2019-01-03 08:00:00,105.2316,17.9651,11.3898,8.6381,12.4669,14.7075,13.4392,183.8382,48.640779166666675,450.934
2019-01-03 09:00:00,122.2599,13.9006,14.6102,12.8063,13.4462,11.7378,13.4924,202.2533,47.877387500000005,685.94
2019-01-03 10:00:00,65.9926,19.5825,16.5397,14.5015,10.0831,12.4408,9.8025,148.9427,44.65513333333334,899.9069999999999
2019-01-03 11:00:00,92.2976,28.4234,16.2393,12.2511,12.3571,15.2608,8.8564,185.6855,42.488583333333345,996.0260000000001
2019-01-03 12:00:00,119.9479,29.9923,13.5378,16.1922,14.8142,14.4478,17.5208,226.453,41.42752083333334,1205.638
2019-01-03 13:00:00,94.2628,20.0687,11.7945,15.8871,10.2754,8.4513,18.3254,179.0653,39.219420833333345,1145.895
2019-01-03 14:00:00,98.7488,15.9942,12.2818,15.1968,7.1057,8.3785,15.9627,173.6685,38.43448750000002,742.447
2019-01-03 15:00:00,73.7253,13.2744,12.0443,12.6721,7.7381,9.6443,12.1639,141.2624,38.37967083333336,510.94199999999995
2019-01-03 16:00:00,92.1323,10.1723,6.4385,7.0256,6.828,5.874,7.7279,136.1986,41.05532500000002,491.156
2019-01-03 17:00:00,50.1585,7.7056,2.5204,2.6641,3.8051,2.166,5.853,74.8727,42.64973750000002,341.199
2019-01-03 18:00:00,6.3443,1.0219,0.2767,0.2391,1.0227,0.1688,0.2981,9.3715,42.86995833333336,100.37700000000001
2019-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,5.069
2019-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.9939999999999998
2019-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-4.053
2019-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.512
2019-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.6489999999999996
2019-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.5789999999999997
2019-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.109
2019-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.735
2019-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.592
2019-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86995833333336,-3.9989999999999997
2019-01-04 05:00:00,1.6388,0.2377,0.0255,0.0377,0.0016,0.0158,0.0282,1.9852,42.88545000000002,-4.122
2019-01-04 06:00:00,35.9909,9.7248,1.9762,1.5934,0.4534,1.4198,0.9672,52.1256,43.23511666666669,14.225999999999999
2019-01-04 07:00:00,93.8441,23.3697,5.2416,4.9689,2.5401,5.9348,4.6358,140.5349,43.85730833333336,157.94799999999998
2019-01-04 08:00:00,128.0765,27.9144,9.8133,8.9564,10.7644,13.1078,12.0213,210.6541,44.809179166666695,376.42800000000005
2019-01-04 09:00:00,132.7298,35.365,13.801,13.2419,14.045,15.7455,13.3858,238.3139,45.24542500000003,586.965
2019-01-04 10:00:00,141.2901,33.89,16.6724,15.9249,12.5925,12.6233,16.6361,249.6292,48.38282083333336,916.309
2019-01-04 11:00:00,140.9673,35.8653,18.0452,17.3332,13.5706,16.7198,17.8262,260.3274,50.41072500000002,1058.228
2019-01-04 12:00:00,144.8307,36.8359,18.3747,17.7956,15.3149,16.749,17.952,267.8527,51.44750833333336,1124.185
2019-01-04 13:00:00,142.2469,37.331,17.5526,16.8526,14.9341,16.8078,18.1274,263.8523,53.44684583333336,1109.2839999999999
2019-01-04 14:00:00,139.8062,37.7488,15.1308,14.6707,14.6056,16.3345,17.7078,256.0044,55.15757083333336,1021.6060000000001
2019-01-04 15:00:00,132.2701,34.6139,11.548,11.2961,14.103,15.4283,16.7276,235.987,57.596937500000024,869.291
2019-01-04 16:00:00,118.2785,23.2575,6.9137,6.9464,13.1263,13.4623,14.8101,196.7947,58.68636250000002,662.5060000000001
2019-01-04 17:00:00,67.2519,9.1636,2.4178,2.4703,10.6427,7.3593,9.0131,108.3186,59.39858750000002,434.827
2019-01-04 18:00:00,7.0373,1.2675,0.3454,0.2274,2.5935,0.227,0.705,12.4031,59.42746250000002,141.168
2019-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,8.542
2019-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-3.49
2019-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-4.898
2019-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-4.724
2019-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-4.622
2019-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-3.975
2019-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-3.5069999999999997
2019-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-4.213
2019-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-4.109
2019-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.42746250000002,-4.584
2019-01-05 05:00:00,0.8225,0.1511,0.0164,0.0284,0.0,0.0683,0.0,1.0867,59.39345000000002,-4.079
2019-01-05 06:00:00,43.3608,9.1291,1.5071,1.4096,0.6199,2.4425,0.58,59.049,59.70052916666668,24.65
2019-01-05 07:00:00,117.0356,27.1436,5.3629,4.9128,3.8585,14.1053,5.3535,177.7722,60.66684166666668,227.365
