FECHA,CS_RUBI,TEMPERATURA
1/01/2019 05:00,1.6852,18.4
1/01/2019 06:00,18.5969,18.6
1/01/2019 07:00,112.9623,19.4
1/01/2019 08:00,128.9635,20.3
1/01/2019 09:00,140.4485,21.9
1/01/2019 10:00,142.7219,25.9
1/01/2019 11:00,144.4636,28.3
1/01/2019 12:00,144.781,29.3
1/01/2019 13:00,149.0195,31.5
1/01/2019 14:00,105.1645,33.3
1/01/2019 15:00,45.7775,30.9
1/01/2019 16:00,33.5107,28.7
1/01/2019 17:00,7.7331,26.5
1/01/2019 18:00,0.9123,25.2
2/01/2019 05:00,0.9512,19.2
2/01/2019 06:00,47.5753,19.2
2/01/2019 07:00,116.2868,19.8
2/01/2019 08:00,132.3791,21.1
2/01/2019 09:00,140.5813,21.9
2/01/2019 10:00,143.3267,24.1
2/01/2019 11:00,144.2948,27
2/01/2019 12:00,145.4134,29.5
2/01/2019 13:00,147.2572,30.9
2/01/2019 14:00,117.5872,30.3
2/01/2019 15:00,75.0409,29.4
2/01/2019 16:00,27.9166,26.6
2/01/2019 17:00,11.8926,25
2/01/2019 18:00,1.059,23.2
3/01/2019 05:00,1.267,14.5
3/01/2019 06:00,27.5989,14.7
3/01/2019 07:00,78.9115,19.8
3/01/2019 08:00,105.2316,21.7
3/01/2019 09:00,122.2599,24.9
3/01/2019 10:00,65.9926,28.5
3/01/2019 11:00,92.2976,29.7
3/01/2019 12:00,119.9479,31.9
3/01/2019 13:00,94.2628,31.8
3/01/2019 14:00,98.7488,29.7
3/01/2019 15:00,73.7253,29.5
3/01/2019 16:00,92.1323,28.8
3/01/2019 17:00,50.1585,26.1
3/01/2019 18:00,6.3443,23.9
4/01/2019 05:00,1.6388,17.7
4/01/2019 06:00,35.9909,16.7
4/01/2019 07:00,93.8441,21.9
4/01/2019 08:00,128.0765,26.3
4/01/2019 09:00,132.7298,28
4/01/2019 10:00,141.2901,28.8
4/01/2019 11:00,140.9673,31.4
4/01/2019 12:00,144.8307,34.1
4/01/2019 13:00,142.2469,36
4/01/2019 14:00,139.8062,34.7
4/01/2019 15:00,132.2701,33
4/01/2019 16:00,118.2785,31.5
4/01/2019 17:00,67.2519,29.1
4/01/2019 18:00,7.0373,26.6
5/01/2019 05:00,0.8225,13.9
5/01/2019 06:00,43.3608,13.8
5/01/2019 07:00,117.0356,20.7
5/01/2019 08:00,136.1262,23.7
5/01/2019 09:00,142.6967,27
5/01/2019 10:00,144.2623,28.9
5/01/2019 11:00,144.2154,32.7
5/01/2019 12:00,143.6607,35.5
5/01/2019 13:00,143.8538,36
5/01/2019 14:00,141.5305,34.9
5/01/2019 15:00,137.8281,33.1
5/01/2019 16:00,127.0624,31.3
5/01/2019 17:00,68.7593,26.6
5/01/2019 18:00,5.8193,25
6/01/2019 05:00,1.7342,19.1
6/01/2019 06:00,27.1238,19.2
6/01/2019 07:00,114.415,19.9
6/01/2019 08:00,135.4053,21.4
6/01/2019 09:00,141.0871,24.5
6/01/2019 10:00,144.2404,26.5
6/01/2019 11:00,145.6675,29.5
6/01/2019 12:00,146.1211,30.3
6/01/2019 13:00,146.7316,31.8
6/01/2019 14:00,139.9027,31.7
6/01/2019 15:00,128.0533,30.2
6/01/2019 16:00,124.0678,28.8
6/01/2019 17:00,60.6978,28.5
6/01/2019 18:00,4.8514,24.9
7/01/2019 05:00,0.2531,21.5
7/01/2019 06:00,7.554,21.5
7/01/2019 07:00,20.71,22
7/01/2019 08:00,41.4296,23.7
7/01/2019 09:00,84.928,25.6
7/01/2019 10:00,130.5001,28.1
7/01/2019 11:00,103.3013,27.8
7/01/2019 12:00,110.7225,28.9
7/01/2019 13:00,83.4242,30.2
7/01/2019 14:00,46.1895,29.5
7/01/2019 15:00,44.5973,28.9
7/01/2019 16:00,7.489,30.1
7/01/2019 17:00,2.471,29.4
7/01/2019 18:00,0.3651,26.6
8/01/2019 05:00,0.485,18
8/01/2019 06:00,9.5489,16.6
8/01/2019 07:00,67.7897,19.2
8/01/2019 08:00,128.8461,22.8
8/01/2019 09:00,140.4702,25.3
8/01/2019 10:00,144.6476,28.9
8/01/2019 11:00,142.423,30.5
8/01/2019 12:00,128.8658,31.3
8/01/2019 13:00,92.1173,32.1
8/01/2019 14:00,65.5123,30.4
8/01/2019 15:00,38.4115,31.1
8/01/2019 16:00,28.4525,29.7
8/01/2019 17:00,11.0447,28.2
8/01/2019 18:00,0.4886,26.6
9/01/2019 05:00,1.376,21.7
9/01/2019 06:00,50.6496,21.2
9/01/2019 07:00,107.4299,22.9
9/01/2019 08:00,141.4973,27.2
9/01/2019 09:00,107.5912,28.6
9/01/2019 10:00,108.2501,30.4
9/01/2019 11:00,128.5684,31.3
9/01/2019 12:00,59.8828,31.3
9/01/2019 13:00,91.2738,33.3
9/01/2019 14:00,119.0636,32
9/01/2019 15:00,124.0244,31
9/01/2019 16:00,52.7818,29.8
9/01/2019 17:00,15.3434,29.7
9/01/2019 18:00,0.7845,25.5
10/01/2019 05:00,0.2076,20.6
10/01/2019 06:00,3.6328,20.2
10/01/2019 07:00,9.4462,21.7
10/01/2019 08:00,23.8327,23.2
10/01/2019 09:00,72.4281,26.3
10/01/2019 10:00,78.9096,27.7
10/01/2019 11:00,87.2944,29.9
10/01/2019 12:00,96.6449,28.6
10/01/2019 13:00,76.2086,27.4
10/01/2019 14:00,31.4664,27.7
10/01/2019 15:00,22.9871,27.4
10/01/2019 16:00,21.2004,25.1
10/01/2019 17:00,8.1567,25.1
10/01/2019 18:00,0.9641,25.4
11/01/2019 05:00,0.5261,19.4
11/01/2019 06:00,17.3512,20.1
11/01/2019 07:00,97.2793,21.9
11/01/2019 08:00,101.1025,24.7
11/01/2019 09:00,61.0966,27
11/01/2019 10:00,62.212,29.4
11/01/2019 11:00,27.6142,32.2
11/01/2019 12:00,21.5657,31.1
11/01/2019 13:00,83.8372,31.4
11/01/2019 14:00,73.5833,30.8
11/01/2019 15:00,22.7418,30.5
11/01/2019 16:00,14.6427,30.4
11/01/2019 17:00,5.9449,29.4
11/01/2019 18:00,1.995,25.8
12/01/2019 05:00,1.1167,17.2
12/01/2019 06:00,28.24,16.5
12/01/2019 07:00,99.326,20.2
12/01/2019 08:00,133.6564,23.7
12/01/2019 09:00,132.3538,26.4
12/01/2019 10:00,131.8251,29.4
12/01/2019 11:00,123.3616,31.5
12/01/2019 12:00,122.0499,32
12/01/2019 13:00,111.0169,32.4
12/01/2019 14:00,117.5353,32.1
12/01/2019 15:00,132.6871,31.9
12/01/2019 16:00,96.4294,28.8
12/01/2019 17:00,45.3813,26.6
12/01/2019 18:00,5.179,24.7
13/01/2019 05:00,0.1008,19.5
13/01/2019 06:00,8.487,19.7
13/01/2019 07:00,58.9313,20.6
13/01/2019 08:00,133.1486,22.7
13/01/2019 09:00,141.5617,23.9
13/01/2019 10:00,143.4082,26.1
13/01/2019 11:00,143.2861,29.1
13/01/2019 12:00,135.7476,31.8
13/01/2019 13:00,138.6549,32.2
13/01/2019 14:00,106.623,33.3
13/01/2019 15:00,69.1364,32
13/01/2019 16:00,46.7694,28.3
