FECHA,C.S RUBI,C.S INTIPAMPA,C.S MAJES,C.S REPARTICION,C.S MOQUEGUA FV,C.S PANAMERICANA SOLAR,C.S TACNA SOLAR
1/01/2019 00:00,0,0,0,0,0,0,0
1/01/2019 00:15,0,0,0,0,0,0,0
1/01/2019 00:30,0,0,0,0,0,0,0
1/01/2019 00:45,0,0,0,0,0,0,0
1/01/2019 01:00,0,0,0,0,0,0,0
1/01/2019 01:15,0,0,0,0,0,0,0
1/01/2019 01:30,0,0,0,0,0,0,0
1/01/2019 01:45,0,0,0,0,0,0,0
1/01/2019 02:00,0,0,0,0,0,0,0
1/01/2019 02:15,0,0,0,0,0,0,0
1/01/2019 02:30,0,0,0,0,0,0,0
1/01/2019 02:45,0,0,0,0,0,0,0
1/01/2019 03:00,0,0,0,0,0,0,0
1/01/2019 03:15,0,0,0,0,0,0,0
1/01/2019 03:30,0,0,0,0,0,0,0
1/01/2019 03:45,0,0,0,0,0,0,0
1/01/2019 04:00,0,0,0,0,0,0,0
1/01/2019 04:15,0,0,0,0,0,0,0
1/01/2019 04:30,0,0,0,0,0,0,0
1/01/2019 04:45,0,0,0,0,0,0,0
1/01/2019 05:00,0,0,0,0,0,0,0
1/01/2019 05:15,0.00134,0,0,0,0,0,0
1/01/2019 05:30,1.04025,0.5305,0,0,0,0.805,0
1/01/2019 05:45,5.69901,2.29257,0.00474,0.04454,0.13296,3.12,0.49681
1/01/2019 06:00,17.67463,7.04785,0.48367,0.35498,0.82626,6.578,2.78988
1/01/2019 06:15,19.75879,10.50158,1.23798,0.88412,2.56763,8.988,2.07887
1/01/2019 06:30,11.87439,12.6885,1.96347,1.65575,6.02102,12.242,4.92349
1/01/2019 06:45,25.0799,15.09946,2.82305,2.49584,7.6372,12.174,5.4127
1/01/2019 07:00,86.93499,22.5534,3.71859,3.44725,10.6102,12.803,10.86221
1/01/2019 07:15,115.03825,25.90002,4.76193,4.33549,11.01246,13.781,14.73756
1/01/2019 07:30,124.21157,30.45004,5.92028,5.37558,11.36836,12.019,15.26398
1/01/2019 07:45,125.6644,33.33396,6.97286,6.43529,12.92273,14.363,16.33438
1/01/2019 08:00,130.77947,30.09335,8.28863,7.57886,10.89255,15.91,16.62348
1/01/2019 08:15,134.40634,28.45075,9.4452,8.70338,12.75386,16.018,16.40086
1/01/2019 08:30,118.24521,32.24652,10.60586,9.79873,14.30491,16.148,17.03309
1/01/2019 08:45,132.42314,35.68325,11.66494,10.81024,14.48963,16.26,17.35968
1/01/2019 09:00,138.83385,35.68317,12.5533,11.79337,14.55729,16.162,17.47042
1/01/2019 09:15,140.21757,35.92065,13.39363,12.62229,14.69138,16.217,17.62405
1/01/2019 09:30,141.21291,36.41756,14.33926,13.54272,14.61614,16.328,17.63438
1/01/2019 09:45,141.52959,36.6554,14.89627,14.36002,14.68855,16.304,17.86435
1/01/2019 10:00,141.85829,36.80609,15.56334,15.0191,14.75148,16.332,17.79767
1/01/2019 10:15,142.49324,37.23723,16.06178,15.31013,14.71871,16.346,17.86843
1/01/2019 10:30,143.10095,37.67313,16.70048,15.73978,14.75225,16.365,17.97327
1/01/2019 10:45,143.43529,37.62778,16.82922,16.36197,14.8059,16.509,18.15897
1/01/2019 11:00,144.29833,37.57058,17.56818,16.45178,14.87477,16.681,18.1101
1/01/2019 11:15,145.13,37.62538,17.99937,16.76451,14.87322,16.773,18.21783
1/01/2019 11:30,144.66598,37.48917,18.2308,16.97524,15.08837,16.921,18.07829
1/01/2019 11:45,143.76001,37.66112,18.34814,17.34074,15.08745,17.169,18.16887
1/01/2019 12:00,144.63321,37.86345,18.44877,17.73074,14.98574,17.156,18.01599
1/01/2019 12:15,144.80795,38.26338,18.46812,17.45474,15.05408,17.111,18.24307
1/01/2019 12:30,144.45613,38.92905,18.2845,11.93018,14.97019,17.11,18.34164
1/01/2019 12:45,145.22672,36.03436,18.27054,12.65899,14.98356,15.43,18.45007
1/01/2019 13:00,147.13744,32.72586,18.49834,6.80843,14.98795,11.088,18.6515
1/01/2019 13:15,149.27583,35.15812,17.733,12.91266,13.80215,8.515,17.90334
1/01/2019 13:30,150.1587,34.62967,14.39432,17.17483,9.78119,7.511,14.78862
1/01/2019 13:45,149.50588,21.1931,16.39532,16.8562,7.94246,9.043,11.49041
1/01/2019 14:00,138.7773,13.89893,16.47681,14.13179,6.76732,12.798,9.17742
1/01/2019 14:15,122.23231,14.68398,14.86902,12.09234,8.00775,12.406,11.30997
1/01/2019 14:30,100.04566,11.76747,14.5529,10.1824,10.8976,8.411,9.53718
1/01/2019 14:45,59.60288,5.35257,13.52376,9.24176,11.475,6.704,5.95653
1/01/2019 15:00,43.84004,2.76614,12.43321,8.05434,7.81559,4.858,4.58982
1/01/2019 15:15,33.734,2.15171,11.35742,13.31498,6.23957,3.12,3.5221
1/01/2019 15:30,35.71355,2.42342,10.93289,9.16806,5.08143,2.227,2.87582
1/01/2019 15:45,69.82258,2.70613,8.06958,5.48637,3.69821,1.733,2.42297
1/01/2019 16:00,70.49964,2.33063,5.00518,4.01927,2.84885,1.416,2.04824
1/01/2019 16:15,32.22574,1.86351,3.28314,3.46759,2.25945,1.249,1.77998
1/01/2019 16:30,17.94767,1.96812,2.42264,3.71056,1.8295,1.171,1.6048
1/01/2019 16:45,13.36986,2.27308,1.40068,2.79245,1.78594,1.117,1.51059
1/01/2019 17:00,11.08757,2.5061,0.81586,1.559,1.77425,1.1,1.35852
1/01/2019 17:15,8.00642,3.37178,0.5162,1.0997,1.60032,1.389,0.97891
1/01/2019 17:30,7.02883,2.81619,0.31046,0.71395,1.37604,1.175,0.69911
1/01/2019 17:45,4.80973,1.35592,0.15643,0.45105,1.33235,0.499,0.38863
1/01/2019 18:00,2.55414,0.8444,0.01297,0.08037,1.14687,0.003,0.04321
1/01/2019 18:15,1.05089,0.18014,0,0,0.6411,0,0
1/01/2019 18:30,0.04399,0,0,0,0.19727,0,0
1/01/2019 18:45,0,0,0,0,0.0325,0,0
1/01/2019 19:00,0,0,0,0,0,0,0
1/01/2019 19:15,0,0,0,0,0,0,0
1/01/2019 19:30,0,0,0,0,0,0,0
1/01/2019 19:45,0,0,0,0,0,0,0
1/01/2019 20:00,0,0,0,0,0,0,0
1/01/2019 20:15,0,0,0,0,0,0,0
1/01/2019 20:30,0,0,0,0,0,0,0
1/01/2019 20:45,0,0,0,0,0,0,0
1/01/2019 21:00,0,0,0,0,0,0,0
1/01/2019 21:15,0,0,0,0,0,0,0
1/01/2019 21:30,0,0,0,0,0,0,0
1/01/2019 21:45,0,0,0,0,0,0,0
1/01/2019 22:00,0,0,0,0,0,0,0
1/01/2019 22:15,0,0,0,0,0,0,0
1/01/2019 22:30,0,0,0,0,0,0,0
1/01/2019 22:45,0,0,0,0,0,0,0
1/01/2019 23:00,0,0,0,0,0,0,0
1/01/2019 23:15,0,0,0,0,0,0,0
1/01/2019 23:30,0,0,0,0,0,0,0
1/01/2019 23:45,0,0,0,0,0,0,0
2/01/2019 00:00,0,0,0,0,0,0,0
2/01/2019 00:15,0,0,0,0,0,0,0
2/01/2019 00:30,0,0,0,0,0,0,0
2/01/2019 00:45,0,0,0,0,0,0,0
2/01/2019 01:00,0,0,0,0,0,0,0
2/01/2019 01:15,0,0,0,0,0,0,0
2/01/2019 01:30,0,0,0,0,0,0,0
2/01/2019 01:45,0,0,0,0,0,0,0
2/01/2019 02:00,0,0,0,0,0,0,0
2/01/2019 02:15,0,0,0,0,0,0,0
2/01/2019 02:30,0,0,0,0,0,0,0
2/01/2019 02:45,0,0,0,0,0,0,0
2/01/2019 03:00,0,0,0,0,0,0,0
2/01/2019 03:15,0,0,0,0,0,0,0
2/01/2019 03:30,0,0,0,0,0,0,0
2/01/2019 03:45,0,0,0,0,0,0,0
2/01/2019 04:00,0,0,0,0,0,0,0
2/01/2019 04:15,0,0,0,0,0,0,0
2/01/2019 04:30,0,0,0,0,0,0,0
2/01/2019 04:45,0,0,0,0,0,0,0
2/01/2019 05:00,0,0,0,0,0,0,0
2/01/2019 05:15,0,0,0,0,0,0,0
2/01/2019 05:30,0.56201,0.05028,0,0,0,0.586,0
2/01/2019 05:45,3.24272,0.88017,0.07284,0.23956,0.04246,1.992,0.61529
2/01/2019 06:00,15.56647,3.40315,0.56136,0.6022,0.62658,5.72,3.13394
2/01/2019 06:15,34.52496,8.4968,1.08971,0.91999,1.83943,9.712,5.04056
2/01/2019 06:30,59.22733,13.10638,1.71246,1.36823,4.92534,12.185,8.70703
